date,PVkW,TBLkW
2016/05/19 00:00,0,239.50626
2016/05/19 01:00,0,206.19063
2016/05/19 02:00,0,214.84766
2016/05/19 03:00,0,181.61172
2016/05/19 04:00,0,170.51875
2016/05/19 05:00,0,183.08907
2016/05/19 06:00,0,216.7539
2016/05/19 07:00,103.1,177.90312
2016/05/19 08:00,319.2,217.39218
2016/05/19 09:00,366.5,261.4992
2016/05/19 10:00,701.4,321.71405
2016/05/19 11:00,1022.1,313.33124
2016/05/19 12:00,1151.2,298.8094
2016/05/19 13:00,1173.1,309.1164
2016/05/19 14:00,1136.9,291.63672
2016/05/19 15:00,1141.4,331.23984
2016/05/19 16:00,486.5,316.14297
2016/05/19 17:00,759.7,269.61014
2016/05/19 18:00,375.7,258.6242
2016/05/19 19:00,113.1,259.47266
2016/05/19 20:00,5.9,294.9992
2016/05/19 21:00,0,301.95703
2016/05/19 22:00,0,347.30078
2016/05/19 23:00,0,244.0953
